beta, gamma, t0 
0.0366656, 0.884497, -0.427828
0.0364142, 1.13985, -0.243423
0.0445215, 0.751075, -0.665478
0.0475327, 0.886894, 0.202732
0.0511274, 1.17754, -0.231536
0.0269347, 1.09769, 0.177297
0.0427629, 0.9337, -0.254212
0.0547625, 0.935521, 0.152352
0.06079, 1.33919, 0.235262
0.0544776, 1.22618, 0.482194
0.0467488, 1.17739, 0.156766
0.0601221, 1.29608, 0.219586
0.053668, 1.53333, 0.426406
0.0777491, 1.93673, 0.436712
0.0904672, 1.4867, 0.488815
0.0748502, 1.99659, -0.0254877
0.0514974, 0.906677, -0.536797
0.0454721, 1.22673, -0.0266571
0.0424527, 1.00836, 0.0783729
0.0402122, 0.834424, 0.311503
0.0496523, 1.12005, 0.334421
0.0411849, 0.994516, -0.346566
0.0440932, 1.2217, 0.0753633
0.0448225, 0.881314, -0.0665317
0.052601, 0.947609, 0.366978
0.0458976, 0.797068, 0.202875
0.0419032, 0.957669, -0.137557
0.0311087, 0.699442, -0.630981
0.0283023, 0.821554, -0.789286
0.0360034, 0.852298, -0.432548
0.0359951, 0.772058, -0.467612
0.0319559, 0.719952, -0.601399
0.0387802, 0.673915, -0.331148
0.0332687, 0.642085, -0.125543
0.0262218, 0.724212, -0.998651
0.0307934, 0.764111, -0.291827
0.0319095, 0.866713, -1.11637
0.0262446, 0.626311, -1.04812
0.0308198, 0.81593, -0.66695
0.0362504, 0.736401, -0.660214
0.0362474, 0.884995, -0.883344
0.0349592, 0.674632, -0.983456
0.0365754, 1.10092, -0.781529
0.0308969, 0.90626, -0.478251
0.0393701, 0.72162, 0.157659
0.0374368, 0.746881, -0.64475
0.0257812, 0.604119, -0.635212
0.024499, 0.49103, -0.915596
0.0316297, 0.860705, -2.3657
0.0329368, 0.682907, -2.39087
0.0376809, 0.961031, -1.13388
0.0395949, 0.751918, -0.622668
0.0376777, 0.756471, -0.158599
0.0337394, 0.870304, 0.277519
0.0395016, 0.865274, 0.339265
0.0240833, 0.79283, 0.4114
0.0344131, 0.775312, 0.360098
