alpha, beta, delta, gamma 
0.133281, 0.0122782, 0.0137781, 0.154412
0.116366, 0.0126785, 0.0133375, 0.140583
0.127518, 0.0141577, 0.0136225, 0.118933
0.094311, 0.0126851, 0.0108407, 0.126285
0.109998, 0.0123699, 0.0156042, 0.113178
0.102769, 0.0125954, 0.0128653, 0.146313
0.0887078, 0.0107346, 0.0154991, 0.138762
0.10172, 0.0107697, 0.0140498, 0.145842
0.120828, 0.0133104, 0.0128606, 0.145484
0.157181, 0.014482, 0.0133303, 0.11966
0.123582, 0.0144867, 0.0138886, 0.128163
0.129107, 0.0148346, 0.0132272, 0.113046
0.128338, 0.014216, 0.0113278, 0.133005
0.129375, 0.0139965, 0.0148039, 0.140789
0.112948, 0.0130787, 0.0134425, 0.104263
0.101991, 0.0106445, 0.0104369, 0.0935023
0.15394, 0.0148826, 0.0121328, 0.0972651
0.133026, 0.0140792, 0.0117578, 0.106325
0.12934, 0.0124633, 0.0123633, 0.129271
0.119905, 0.012187, 0.012241, 0.125164
0.114828, 0.011603, 0.0129592, 0.142015
0.0916805, 0.0118577, 0.0114062, 0.124978
0.09972, 0.0119276, 0.0137278, 0.102152
0.113882, 0.0134007, 0.00982681, 0.0906692
0.120112, 0.014518, 0.00805684, 0.0953145
0.116218, 0.0138222, 0.0124284, 0.0880411
0.0952194, 0.0119568, 0.0105223, 0.0918352
0.115915, 0.0124813, 0.0101209, 0.0906204
0.111906, 0.0145525, 0.0079068, 0.0732869
0.0888426, 0.0130052, 0.00696162, 0.081885
0.065933, 0.0106874, 0.01064, 0.0864608
0.105548, 0.0110031, 0.00892858, 0.0864412
0.0943038, 0.0146413, 0.00932744, 0.0744702
0.0934348, 0.0107409, 0.011676, 0.0857264
0.0747565, 0.011728, 0.00779743, 0.092002
0.0841439, 0.0113642, 0.0106533, 0.0821951
0.0658205, 0.00991061, 0.00974735, 0.107501
0.0876275, 0.01094, 0.00932373, 0.104985
0.0836522, 0.0129991, 0.0103874, 0.0916691
0.0874875, 0.0118909, 0.0125457, 0.10528
0.0875078, 0.0126469, 0.0131169, 0.115403
0.0797026, 0.00927989, 0.011363, 0.0970517
0.0675888, 0.0118482, 0.0108137, 0.111343
0.0933653, 0.00842319, 0.0130176, 0.133085
0.0554252, 0.00883343, 0.0113718, 0.132983
0.0619877, 0.00705393, 0.0129032, 0.141995
0.0741727, 0.00654469, 0.0113672, 0.141678
0.0670161, 0.00736528, 0.0140004, 0.13411
0.0625868, 0.00757359, 0.0135404, 0.135144
0.0657096, 0.00814032, 0.0136316, 0.12
0.0587984, 0.00869405, 0.0111167, 0.104289
0.0640729, 0.00872446, 0.0127499, 0.132212
0.0644611, 0.00839564, 0.0147464, 0.123944
0.0613202, 0.0061956, 0.0133668, 0.139036
0.0502453, 0.00643075, 0.0143384, 0.113788
0.0475544, 0.00882621, 0.0113424, 0.102252
0.0571143, 0.00726064, 0.0134887, 0.12788
0.0663287, 0.00745189, 0.0114783, 0.149221
0.0715962, 0.00840367, 0.0150654, 0.137539
0.0723122, 0.010403, 0.0121407, 0.111277
0.083725, 0.00903251, 0.0107058, 0.126638
0.109944, 0.00936206, 0.013011, 0.122663
0.100368, 0.0121221, 0.0131746, 0.142234
0.0970227, 0.0112739, 0.0121633, 0.107757
0.10689, 0.0111277, 0.0095484, 0.108596
0.12226, 0.0111156, 0.0108185, 0.0971596
0.105053, 0.0105061, 0.0123216, 0.120049
0.0992851, 0.01039, 0.0104945, 0.113928
0.0849783, 0.0108801, 0.011401, 0.104652
0.099331, 0.00964677, 0.00874882, 0.0816776
0.0974608, 0.00936597, 0.012508, 0.111672
0.0781025, 0.0105578, 0.0105481, 0.106217
0.0970108, 0.0126761, 0.0115622, 0.103701
0.0891645, 0.0122745, 0.0117899, 0.10557
0.1039, 0.0117244, 0.0135382, 0.109867
0.131048, 0.0135236, 0.0122822, 0.142398
0.122273, 0.013872, 0.012644, 0.123685
0.137886, 0.0122246, 0.0122991, 0.142514
0.130085, 0.0148033, 0.012917, 0.12284
0.161987, 0.0154241, 0.0141883, 0.122895
0.148943, 0.0149838, 0.0137076, 0.127424
0.161562, 0.0173106, 0.0103547, 0.092098
0.171103, 0.0167416, 0.0114377, 0.11209
0.160722, 0.0176531, 0.0126691, 0.118256
0.158911, 0.0173073, 0.0133208, 0.151767
